timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,159.0,2024-09-30,buy,2.5479,372,0.0,2024-09-20
2024-09-24,MSTR.US,call,159.0,2024-09-30,close,3.8974,372,50199.0436,2024-09-20
2024-09-25,IONQ.US,call,8.0,2024-10-05,buy,0.1448,2000,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-05,close,0.8358,2000,138190.5044,2024-09-25
2024-10-01,IONQ.US,call,9.0,2024-10-11,buy,0.2009,2000,0.0,2024-10-01
2024-10-07,IONQ.US,call,9.0,2024-10-11,close,0.3856,2000,36950.7092,2024-10-01
2024-10-08,SMCI.US,call,50.0,2024-10-18,buy,1.3133,548,0.0,2024-10-08
2024-10-10,IONQ.US,call,11.0,2024-10-20,buy,0.2056,2000,0.0,2024-10-10
2024-10-15,MSTR.US,call,214.0,2024-10-25,buy,3.9384,125,0.0,2024-10-15
2024-10-15,SMCI.US,call,50.0,2024-10-18,close,0.5332,548,-42748.6032,2024-10-08
2024-10-16,MSTR.US,call,214.0,2024-10-25,close,3.4536,125,-6060.9063,2024-10-15
2024-10-21,IONQ.US,call,11.0,2024-10-20,exercise,3.76,2000,710882.318,2024-10-10
2024-10-24,MARA.US,call,20.0,2024-11-03,buy,0.1683,1421,0.0,2024-10-24
2024-10-28,MARA.US,call,20.0,2024-11-03,close,0.2801,1421,15887.2735,2024-10-24
2024-11-15,GME.US,call,29.0,2024-11-25,buy,0.1943,1121,0.0,2024-11-15
2024-11-19,GME.US,call,29.0,2024-11-25,close,0.2412,1121,5252.5777,2024-11-15
2024-11-20,GME.US,call,31.0,2024-11-30,buy,0.2123,905,0.0,2024-11-20
2024-11-21,GME.US,call,31.0,2024-11-30,close,0.1078,905,-9456.5436,2024-11-20
2024-11-26,MARA.US,call,27.0,2024-12-06,buy,1.4939,789,0.0,2024-11-26
2024-12-04,MARA.US,call,27.0,2024-12-06,close,0.6544,789,-66236.7971,2024-11-26
2025-01-17,APLD.US,call,10.0,2025-01-27,buy,0.2766,2000,0.0,2025-01-17
2025-01-23,APLD.US,call,10.0,2025-01-27,close,0.1717,2000,-20971.4514,2025-01-17
