timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-20,MSTR.US,call,159.0,2024-09-30,buy,2.5479,372,0.0,2024-09-20
2024-09-24,MSTR.US,call,159.0,2024-09-30,close,3.8974,372,50199.0436,2024-09-20
2024-10-15,MSTR.US,call,214.0,2024-10-25,buy,3.9384,188,0.0,2024-10-15
2024-10-16,MSTR.US,call,214.0,2024-10-25,close,3.4536,188,-9115.603,2024-10-15
2024-10-23,COIN.US,call,219.0,2024-11-02,buy,2.8436,166,0.0,2024-10-23
2024-10-24,MARA.US,call,20.0,2024-11-03,buy,0.1683,1184,0.0,2024-10-24
2024-10-28,MARA.US,call,20.0,2024-11-03,close,0.2801,1184,13237.5312,2024-10-24
2024-10-30,COIN.US,call,219.0,2024-11-02,close,2.8433,166,-5.0007,2024-10-23
2024-11-15,GME.US,call,29.0,2024-11-25,buy,0.1943,513,0.0,2024-11-15
2024-11-19,GME.US,call,29.0,2024-11-25,close,0.2412,513,2403.722,2024-11-15
